European Paintings: From Leonardo to Rembrandt to Goya,media/course/image/c1d8759b-8830-4ff1-ad31-16583ef0aff9-7ffde00503d0.jpg,DAA531F,50,course-v1:UC3Mx+CEH.1-ENx+3T2019,UC3Mx+CEH.1-ENx,UC3Mx
Introduction to Java Programming – Part 1,media/course/image/ef4d812a-d160-4f21-bf8d-48bbb8deadfa-d369cbea0566.jpg,7E79EDB,99,course-v1:HKUSTx+COMP102.1x+2T2020,HKUSTx+COMP102.1x,HKUSTx
Introduction to Java Programming – Part 2,media/course/image/7f031a8a-3979-4a6d-aee7-6b4929566951-20c1b4b63018.jpg,9B132B8,99,course-v1:HKUSTx+COMP102.2x+2T2020,HKUSTx+COMP102.2x,HKUSTx
Quantum Mechanics and Quantum Computation,media/course/image/31c40299-2f14-4689-849d-3f9545b665b7-f58bb26dc2bf.jpg,0770C0B,49,course-v1:BerkeleyX+CS-191x+2T2018,BerkeleyX+CS-191x,BerkeleyX
Programming Basics,media/course/image/5c258ef0-559a-4d52-99ff-43c6d10e62cd-49e449fbd928.png,ACDB5B5,149,course-v1:IITBombayX+CS101.1x+1T2020,IITBombayX+CS101.1x,IITBombayX
Object-Oriented Programming,media/course/image/10b6b3e4-2b0d-418b-a5a3-904c33b30b2a-6fcc052e59fc.png,7E2E11B,149,course-v1:IITBombayX+CS101.2x+1T2020,IITBombayX+CS101.2x,IITBombayX
Delete - Introduction to Apache Spark,media/course/image/33f31641-954d-487c-aba7-c7a3a14981c7-179d899151f9.jpg,482C0BB,49,course-v1:BerkeleyX+CS105x+2T2018,BerkeleyX+CS105x,BerkeleyX
Foundations of Data Structures,media/course/image/49da3125-a471-4615-b9fe-693f045f8d38-aa7ff35be196.png,9DEC502,149,course-v1:IITBombayX+CS213.1x+1T2020,IITBombayX+CS213.1x,IITBombayX
Implementation of Data Structures,media/course/image/2d3f6959-45f7-4d6c-b62c-bfe5257a2ab4-c5ffb15388e4.png,CEFEBDB,149,course-v1:IITBombayX+CS213.2x+1T2020,IITBombayX+CS213.2x,IITBombayX
Algorithms,media/course/image/67922253-808e-4ae0-aaa7-ecdb4989e4c0-e26d8ffb201a.png,1BEB39B,149,course-v1:IITBombayX+CS213.3x+1T2020,IITBombayX+CS213.3x,IITBombayX
CS50's Introduction to Computer Science,media/course/image/da1b2400-322b-459b-97b0-0c557f05d017-3b9fb73b5d5d.jpg,089EAAB,90,course-v1:HarvardX+CS50+X,HarvardX+CS50x,HarvardX
Computer Graphics,media/course/image/f6bc9b9c-e03f-4cde-b09d-bddd82dca299.jpg,FC3205B,99,course-v1:UCSanDiegoX+CSE167x+2T2018,UCSDx+CSE167x,UCSanDiegoX
CSS Basics,media/course/image/32f1ba67-31e7-4b85-aa65-a4687036231c-80139b7286a9.png,4DB4D37,199,course-v1:W3Cx+CSS.0x+2T2020,W3Cx+CSS.0x,W3Cx
CSS Basics,media/course/image/32f1ba67-31e7-4b85-aa65-a4687036231c-80139b7286a9.png,35F2C9C,199,course-v1:W3Cx+CSS.0x+3T2020,W3Cx+CSS.0x,W3Cx
Introduction to Water and Climate,media/course/image/8d384724-c109-45d4-9a92-7920d3f74ef5-9b2517e7d153.jpg,E4CCAD3,50,course-v1:Delftx+CTB3300WCx+3T2019,Delftx+CTB3300WCx,Delftx
Drinking Water Treatment,media/course/image/fa22ed78-4a53-45aa-b11d-d08e5e818fa7-a486feef0601.jpg,4214003,50,course-v1:DelftX+CTB3365DWx+3T2019,DelftX+CTB3365DWx,DelftX
Urban Sewage Treatment,media/course/image/e7108e03-64dc-4252-8913-6da3a55e3698-c6aaf0bc688f.jpg,4A559DF,50,course-v1:DelftX+CTB3365STx+3T2019,DelftX+CTB3365STx,DelftX
Supply Chain Analytics,media/course/image/09532745-c837-467b-9078-093b8e1265a8-f4386a0f2b94.jpg,FBF8569,199,course-v1:MITx+CTL.SC0x+1T2020a,MITx+CTL.SC0x,MITx
Supply Chain Fundamentals,media/course/image/324970b7-03a4-44d7-b39e-10bbda6f119f-b056166a861f.jpg,164475D,299,course-v1:MITx+CTL.SC1x+3T2020,MITx+CTL.SC1x_1,MITx
Supply Chain Design,media/course/image/5f1c55b4-354e-4155-af4a-76450953e10d-0629414f22ed.jpg,91BA616,299,course-v1:MITx+CTL.SC2x+2T2020,MITx+CTL.SC2x,MITx
